iter	AUC	Logloss
0	0.5006210189	0.5697858657
1	0.5007507076	0.4772887447
2	0.5686652809	0.406299972
3	0.568534404	0.3537028882
4	0.5689966828	0.3156180467
5	0.5984392166	0.2855803876
6	0.6068840921	0.2628764297
7	0.6076937616	0.2466422765
8	0.6070151925	0.233858743
9	0.620125562	0.223840206
10	0.619992286	0.2162593224
11	0.6229598224	0.2101485752
12	0.63147071	0.2051078002
13	0.6320049763	0.2015613846
14	0.6323133409	0.1984866923
15	0.6349404752	0.1960431426
16	0.6366356313	0.1940361472
17	0.6379076242	0.1927678132
18	0.6388144791	0.1916947335
19	0.6387169063	0.1905775502
20	0.6406246722	0.1897976709
21	0.6454009712	0.1888991879
22	0.6456168592	0.1883351648
23	0.6463611424	0.1879067126
24	0.6488540471	0.1875415092
25	0.6490754783	0.187111309
26	0.6494751871	0.1867875454
27	0.6508255899	0.1865563036
28	0.6509056687	0.1863549589
29	0.6514182389	0.1861933893
30	0.6522898078	0.1860729543
31	0.6534012556	0.1859367175
32	0.6539308131	0.1857955834
33	0.656353116	0.1855303102
34	0.6565640867	0.1854296586
35	0.6576712132	0.1852405642
36	0.6578008831	0.1851472795
37	0.6589026749	0.1850064644
38	0.6594207585	0.1849325054
39	0.6596747935	0.1848634713
40	0.6601713896	0.1848151364
41	0.6601997614	0.1847390963
42	0.6614376903	0.1846294964
43	0.6619428694	0.1845648325
44	0.6624541581	0.1844898052
45	0.6631311178	0.1844344503
46	0.6639152169	0.1843926636
47	0.6645727158	0.184355691
48	0.6650740504	0.184267914
49	0.6658287942	0.1841867685
50	0.6667708158	0.1841309974
51	0.6671613753	0.1840457454
52	0.6675500274	0.1839909732
53	0.6680168509	0.1839357432
54	0.6687043011	0.1838344812
55	0.6692462265	0.183781582
56	0.6689843833	0.1836926951
57	0.66944924	0.1835961917
58	0.669785589	0.1835452347
59	0.6701591909	0.1834903654
60	0.670887351	0.1834410316
61	0.6713786721	0.1834136178
62	0.6718191803	0.1833279357
63	0.672419101	0.1832687656
64	0.6731390059	0.1832308357
65	0.6733210385	0.1831506891
66	0.6756825745	0.1830319605
67	0.6762219071	0.1829731928
68	0.6760011613	0.1829119279
69	0.6764586866	0.1828572251
70	0.6768368185	0.1827720146
71	0.6770347357	0.1827134689
72	0.6777686477	0.1826642183
73	0.6782129407	0.1826212385
74	0.6793659925	0.1825659808
75	0.6796113849	0.1825243328
76	0.6798095405	0.1824727515
77	0.6800001264	0.1824139144
78	0.6801869273	0.182343826
79	0.6806844771	0.1822882214
80	0.6809819043	0.1822625973
81	0.6814625561	0.1822148312
82	0.6819693446	0.1821556611
83	0.6828990877	0.1821135276
84	0.6829167008	0.1820567576
85	0.6830606759	0.1820199654
86	0.6834204495	0.1819773463
87	0.6831769943	0.1819355735
88	0.6830551624	0.1818944666
89	0.6832039952	0.1818318698
90	0.6833972335	0.1817895143
91	0.6850069165	0.1816554418
92	0.6852040887	0.1815987967
93	0.6855702698	0.1815444685
94	0.6857980788	0.1815027095
95	0.6862659156	0.1814614084
96	0.6865704358	0.1814184425
97	0.686638236	0.1813624078
98	0.6869809926	0.1813342726
99	0.687158823	0.1813028493
729
