iter	Passed	Remaining
0	743	73563
1	1300	63722
2	1491	48209
3	1677	40260
4	1827	34723
5	1996	31270
6	2178	28945
7	2296	26407
8	2434	24616
9	2637	23738
10	2794	22612
11	2966	21757
12	3217	21532
13	3399	20881
14	3603	20417
15	3822	20067
16	4010	19580
17	4131	18820
18	4288	18282
19	4506	18025
20	4718	17749
21	4883	17313
22	5046	16895
23	5203	16477
24	5355	16067
25	5536	15756
26	5695	15399
27	5868	15089
28	6016	14729
29	6148	14346
30	6304	14032
31	6477	13764
32	6653	13509
33	6822	13244
34	6979	12962
35	7147	12706
36	7288	12410
37	7449	12154
38	7564	11831
39	7742	11613
40	7887	11349
41	8035	11096
42	8185	10849
43	8340	10615
44	8536	10433
45	8690	10202
46	8847	9976
47	8998	9748
48	9176	9550
49	9306	9306
50	9445	9075
51	9615	8875
52	9760	8655
53	9916	8447
54	10063	8233
55	10204	8017
56	10344	7803
57	10487	7594
58	10640	7394
59	10795	7196
60	10950	7001
61	11103	6805
62	11245	6604
63	11425	6426
64	11578	6234
65	11726	6040
66	11882	5852
67	12024	5658
68	12175	5470
69	12317	5278
70	12500	5105
71	12636	4914
72	12791	4731
73	12943	4547
74	13087	4362
75	13228	4177
76	13379	3996
77	13532	3816
78	13683	3637
79	13836	3459
80	13994	3282
81	14155	3107
82	14311	2931
83	14457	2753
84	14614	2579
85	14753	2401
86	14890	2225
87	15037	2050
88	15175	1875
89	15319	1702
90	15466	1529
91	15618	1358
92	15790	1188
93	15921	1016
94	16068	845
95	16211	675
96	16375	506
97	16529	337
98	16672	168
99	16812	0
