Sub_id,rt,cond
1,971.8265632,noise
2,857.6081665,noise
3,1035.354758,noise
4,867.6208708,noise
5,928.3818313,noise
6,925.6146127,noise
7,1021.171518,noise
8,1021.14452,noise
9,1153.843503,noise
10,1256.052112,noise
11,1123.360715,noise
12,1042.181216,noise
13,763.5502096,noise
14,1035.020876,noise
15,1028.499423,noise
16,989.663976,noise
17,1092.637305,noise
18,1043.729523,noise
19,1038.930572,noise
20,908.6886913,noise
21,932.5560584,noise
22,876.1058831,noise
23,965.2362524,noise
24,1007.74969,noise
25,989.9786854,noise
26,895.4807184,noise
27,1005.693717,noise
28,1067.157943,noise
29,903.4724251,noise
30,944.5746498,noise
31,943.5133314,noise
32,843.2930486,noise
33,1014.439801,noise
34,1188.621673,noise
35,979.6565773,noise
36,963.1535965,noise
37,813.313001,noise
38,983.8556712,noise
39,933.997363,noise
40,823.253532,noise
41,999.0599085,noise
42,1072.723468,noise
43,1024.172342,noise
44,891.2174513,noise
45,973.7592799,noise
46,901.6719733,noise
47,1118.193849,noise
48,1119.232798,noise
49,1060.039015,noise
50,1243.225359,noise
51,1140.38773,noise
52,1009.932568,noise
53,978.7066482,noise
54,890.1766147,noise
55,1036.043634,noise
56,1067.276846,noise
57,1087.604232,noise
58,955.1675205,noise
59,1028.895342,noise
60,971.3138713,noise
1,703.5022647,quiet
2,690.0348159,quiet
3,559.3293134,quiet
4,648.9563309,quiet
5,760.8694408,quiet
6,634.096662,quiet
7,546.7925481,quiet
8,566.4911137,quiet
9,740.9198172,quiet
10,510.3908436,quiet
11,675.9628763,quiet
12,690.3904207,quiet
13,470.9414386,quiet
14,538.1222813,quiet
15,699.284888,quiet
16,728.9039802,quiet
17,608.2342853,quiet
18,522.3229983,quiet
19,710.4690836,quiet
20,741.1823013,quiet
21,616.333494,quiet
22,653.9694842,quiet
23,548.7375823,quiet
24,557.3576908,quiet
25,601.2279545,quiet
26,540.2857865,quiet
27,582.7192294,quiet
28,723.5802094,quiet
29,861.6144833,quiet
30,471.6262966,quiet
31,564.3148476,quiet
32,555.1126333,quiet
33,606.9952589,quiet
34,675.0338833,quiet
35,691.1234232,quiet
36,637.2189351,quiet
37,609.9032618,quiet
38,863.4952529,quiet
39,607.3640947,quiet
40,498.4512108,quiet
41,693.4334122,quiet
42,656.5827463,quiet
43,638.2753024,quiet
44,606.4986232,quiet
45,472.7754247,quiet
46,713.7745502,quiet
47,617.8291155,quiet
48,870.0942829,quiet
49,767.6300648,quiet
50,727.7734811,quiet
51,719.6531377,quiet
52,505.9851805,quiet
53,544.1387741,quiet
54,573.2569141,quiet
55,540.7880088,quiet
56,562.5756625,quiet
57,672.5129376,quiet
58,583.3081653,quiet
59,762.6003824,quiet
60,754.4864056,quiet
